种,type; breed; race; seed,zhǒng,[sound:种.mp3]
春节之后的商场售货员反而比之前更忙,Instead the mall salespersons are busier after the Spring Festival than before,chūn jié zhī hòu de shāng chǎng shòu huò yuán fǎn ér bǐ zhī qián gēng máng,[sound:春节之后的商场售货员反而比之前更忙.mp3]
春节之后的商场顾客反而比之前多,Instead there are more customers in the malls after the Spring Festival than before,chūn jié zhī hòu de shāng chǎng gù kè fǎn ér bǐ zhī qián duō,[sound:春节之后的商场顾客反而比之前多.mp3]
湖,Lake,hú,[sound:湖.mp3]
长江比黄河长多了,The Yangze River is much longer than the Yellow River,cháng jiāng bǐ huáng hé cháng duō le,[sound:长江比黄河长多了.mp3]
大海和湖哪个更深一点儿,A sea and a lake which one is deeper?,dà hǎi hé hú nǎ ge gēng shēn yī diǎn er,[sound:大海和湖哪个更深一点儿.mp3]
森林没有沙漠大,A forest is not as large as a desert,sēn lín méi yǒu shā mò dà,[sound:森林没有沙漠大.mp3]
黄河比长江短多了,The Yellow River is much shorter than the Yangtze River,huáng hé bǐ cháng jiāng duǎn duō le,[sound:黄河比长江短多了.mp3]
中国西部没有东部热,Western China is not as warm as eastern China,zhōng guó xī bù méi yǒu dōng bù rè,[sound:中国西部没有东部热.mp3]
长江和黄河哪个更长一点儿,"The Yangtze River and the Yellow River, which one is longer?",cháng jiāng hé huáng hé nǎ ge gēng cháng yī diǎn er,[sound:长江和黄河哪个更长一点儿.mp3]
今年夏天南方和北方一样热,"This summer, the south is as hot as the north",jīn nián xià tiān nán fāng hé běi fāng yī yàng rè,[sound:今年夏天南方和北方一样热.mp3]
中国南方没有北方冷,Southern China is not as cold as northern China,zhōng guó nán fāng méi yǒu běi fāng lěng,[sound:中国南方没有北方冷.mp3]
积雪,Snow (accumulated),jī xuě,[sound:积雪.mp3]
雪花,Snowflake,xuě huā,[sound:雪花.mp3]
暴风雪,snowstorm/blizzard,bào fēng xuě,[sound:暴风雪.mp3]
气温,Air temperature,qì wēn,[sound:气温.mp3]
飘落,to float down,piāo luò,[sound:飘落.mp3]
将,will/be going to/shall,jiāng,[sound:将.mp3]
天越来越暗,The sky is getting darker and darker,tiān yuè lái yuè àn,[sound:天越来越暗.mp3]
每个季节的天气都不同,The weather of every season is different,měi gè jì jié de tiān qì dū bù tóng,[sound:每个季节的天气都不同.mp3]
我想知道明天是不是刮风,I want to know wether it will be windy tomorrow,wǒ xiǎng zhī dào míng tiān shì bú shì guā fēng,[sound:我想知道明天是不是刮风.mp3]
风刮得越来越大,The wind is getting stronger and stronger,fēng guā dé yuè lái yuè dà,[sound:风刮得越来越大.mp3]
地上的积雪变得越来越厚,The snow on the ground is becoming thicker and thicker,dì shang de jī xuě biàn de yuè lái yuè hòu,[sound:地上的积雪变得越来越厚.mp3]
云越来越厚,The clouds are getting thicker and thicker,yún yuè lái yuè hòu,[sound:云越来越厚.mp3]
气温变得越来越低,The air temperature is becoming getting lower and lower,qì wēn biàn de yuè lái yuè dī,[sound:气温变得越来越低.mp3]
这将是一场暴风雪,This will be a blizzard,zhè jiāng shì yī cháng bào fēng xuě,[sound:这将是一场暴风雪.mp3]
白色的雪花开始飘落,The white snowflakes started to fall,bái sè de xuě huā kāi shǐ piāo luò,[sound:白色的雪花开始飘落.mp3]
我每天都看天气预报,I watch the weather forecast every day,wǒ měi tiān dū kān tiān qì yù bào,[sound:我每天都看天气预报.mp3]
外面开始刮风了,It started to get windy outside,wài miàn kāi shǐ guā fēng le,[sound:外面开始刮风了.mp3]
我喜欢四季变化,I like the change of (four) seasons,wǒ xǐ huan sì jì biàn huà,[sound:我喜欢四季变化.mp3]
不同的季节进行不同的运动,(People) play different sports in different seasons,bù tóng de jì jié jìn xíng bù tóng de yùn dòng,[sound:不同的季节进行不同的运动.mp3]
飓风,hurricane,jù fēng,[sound:飓风.mp3]
暴雨,rainstorm,bào yǔ,[sound:暴雨.mp3]
级,level/grade&nbsp;(school)/rank,jí,[sound:级.mp3]
达,reach/amount to/extend,dá,[sound:达.mp3]
凉爽,nice and cool/pleasently cool,liáng shuǎng,[sound:凉爽.mp3]
冬眠,to hibernate/hibernation,dōng mián,[sound:冬眠.mp3]
短暂,of short duration/brief,duǎn zàn,[sound:短暂.mp3]
寒冷,cold (climate)/frigid,hán lěng,[sound:寒冷.mp3]
度,degrees (mw),dù,[sound:度.mp3]
树叶,leaves,shù yè,[sound:树叶.mp3]
北极的夏天短暂而凉爽,&nbsp;North Pole's summer is short and cool,běi jí de xià tiān duǎn zàn ér liáng shuǎng,[sound:北极的夏天短暂而凉爽.mp3]
一到秋天树叶就变黄了,Leaves turn yellow as soon as autumn comes,yī dào qiū tiān shù yè jiù biàn huáng le,[sound:一到秋天树叶就变黄了.mp3]
一到春天冬眠的动物就醒了,The hibernating animals wake up as soon as the spring comes,yī dào chūn tiān dōng mián de dòng wù jiù xǐng le,[sound:一到春天冬眠的动物就醒了.mp3]
一到夏天这里的气温就超过三十度,The temperature here rises above 30 degrees as soon as summer comes,yī dào xià tiān zhè lǐ de qì wēn jiù chāo guò sān shí dù,[sound:一到夏天这里的气温就超过三十度.mp3]
据天气预报说二十四小时内极可能有一场暴雪,"According to the weather forcast, it's highly possible that there will be a snowstorm in 24 hours",jù tiān qì yù bào shuō&nbsp;èr shí sì xiǎo shí nèi jí kě néng yǒu yī cháng bào xuě,[sound:据天气预报说二十四小时内极可能有一场暴雪.mp3]
据天气预报说这场暴雨极可能持续二十四小时,"According to the weather forecast, this rainstorm is very likely to last 24 hours",jù tiān qì yù bào shuō zhè cháng bào yǔ jí kě néng chí xù èr shí sì xiǎo shí,[sound:据天气预报说这场暴雨极可能持续二十四小时.mp3]
据天气预报说飓风极可能达到十二级,"According to the weather forecast, the hurricane is very likely to reach level 12",jù tiān qì yù bào shuō&nbsp;jù fēng jí kě néng dá dào shí èr jí,[sound:据天气预报说飓风极可能达到十二级.mp3]
飓风之前天气一点儿也不凉爽,"Before the hurricane, the weather was not cool at all",jù fēng zhī qián tiān qì yī diǎn er yě bù liáng shuǎng,[sound:飓风之前天气一点儿也不凉爽.mp3]
暴雪之后天气暖和一点儿了,After the snow storm the weather warmed up a little,bào xuě zhī hòu tiān qì nuǎn huo yī diǎn er le,[sound:暴雪之后天气暖和一点儿了.mp3]
北极只有夏天和冬天两个季节,"The North Pole has only two seasons, summer and winter",běi jí zhǐ yǒu xià tiān hé dōng tiān liǎng gè jì jié,[sound:北极只有夏天和冬天两个季节.mp3]
零下,Below zero,líng xià,[sound:零下.mp3]
结冰,to freeze/ice over,jié bīng,[sound:结冰.mp3]
户外运动,Outdoor sports,hù wài yùn dòng,[sound:户外运动.mp3]
忽然,suddenly/all of a sudden,hū rán,[sound:忽然.mp3]
这几天的天气时好时坏,These days the weather is sometimes good and sometimes bad&nbsp;,zhè jǐ tiān de tiān qì shí hǎo shí huài,[sound:这几天的天气时好时坏.mp3]
最近的气温时高时低,Recently the temperature is sometimes high and sometimes low,zuì jìn de qì wēn shí gāo shí dī,[sound:最近的气温时高时低.mp3]
外面下暴雨现在显然不适合户外运动,"It's storming outside, now is obviously not a good time for outdoor sports",wài miàn xià bào yǔ xiàn zài xiǎn rán bú shì hé hù wài yùn dòng,[sound:外面下暴雨现在显然不适合户外运动.mp3]
他只穿了一件衬衫显然很冷,"He is only wearing a shirt, obviously (he is) cold",tā zhǐ chuān le yī jiàn chèn shān xiǎn rán hěn lěng,[sound:他只穿了一件衬衫显然很冷.mp3]
今天的天气预报显然错了,Today's weather forecast was obviously wrong,jīn tiān de tiān qì yù bào xiǎn rán cuò le,[sound:今天的天气预报显然错了.mp3]
忽然天空中出现一道闪电,"Suddenly, a bolt of lightning appeared in the sky",hū rán tiān kōng zhōng chū xiàn yī dào shǎn diàn,[sound:忽然天空中出现一道闪电.mp3]
外面的雨忽大忽小,The rain outside shifts between heavy and light,wài miàn de yǔ hū dà hū xiǎo,[sound:外面的雨忽大忽小.mp3]
忽然打雷了,"Suddenly, it thundered",hū rán dǎ léi le,[sound:忽然打雷了.mp3]
春天居然下起雪来了,"Suprisingly, it started snowing in spring",chūn tiān jū rán xià qǐ xuě lái le,[sound:春天居然下起雪来了.mp3]
气温零下十度这条河居然没有结冰,"The temperature is -10 degrees, (but) this river is suprisingly not frozen",qì wēn líng xià shí dù zhè tiáo hé jū rán méi yǒu jié bīng,[sound:气温零下十度这条河居然没有结冰.mp3]
长颈鹿,Giraffe,cháng jǐng lù,[sound:长颈鹿.mp3]
鳄鱼,crocodile/alligator,è yú,[sound:鳄鱼.mp3]
草原,Savannah,cǎo yuán,[sound:草原.mp3]
强壮,Strong,qiáng zhuàng,[sound:强壮.mp3]
各种各样,various kinds/all sorts,gè zhǒng gè yàng,[sound:各种各样.mp3]
浓密,dense/murky/thick,nóng mì,[sound:浓密.mp3]
鬃毛,mane (eg lion's),zōng máo,[sound:鬃毛.mp3]
灵巧,nimble/skillful/deft,líng qiǎo,[sound:灵巧.mp3]
斑点,spot/stain/speckle,bān diǎn,[sound:斑点.mp3]
火烈鸟,Flamingo,huǒ liè niǎo,[sound:火烈鸟.mp3]
骆驼,Camel,luò tuo,[sound:骆驼.mp3]
松鼠,Squirrel,sōng shǔ,[sound:松鼠.mp3]
树洞,A Tree hole&nbsp;,shù dòng,[sound:树洞.mp3]
毛茸茸,fluffy/hairy/shaggy,máo rōng rōng,[sound:毛茸茸.mp3]
羽毛,feathers/plumage,yǔ máo,[sound:羽毛.mp3]
驼峰,hump (camel/transportation)/hunchbacked,tuó fēng,[sound:驼峰.mp3]
狮子有浓密的鬃毛,Lions have thick manes,shī zǐ yǒu nóng mì de zōng máo,[sound:狮子有浓密的鬃毛.mp3]
长颈鹿有漂亮的斑点,Giraffes have beautiful spots (on their body),cháng jǐng lù yǒu piào liang de bān diǎn,[sound:长颈鹿有漂亮的斑点.mp3]
大象有灵巧的鼻子,Elephants have nimble trunks,dà xiàng yǒu líng qiǎo de bí zi,[sound:大象有灵巧的鼻子.mp3]
松鼠住在树洞里,Squirrels live in tree holes,sōng shǔ zhù zài shù dòng lǐ,[sound:松鼠住在树洞里.mp3]
地球上生活着各种各样的动物,There are all kinds of animals living on earth,dì qiú shǎng shēng huó zhāo gè zhǒng gè yàng de dòng wù,[sound:地球上生活着各种各样的动物.mp3]
鳄鱼生活在水里,Crocodiles live in water,è yú shēng huó zài shuǐ lǐ,[sound:鳄鱼生活在水里.mp3]
什么动物生活在沼泽里,What animals live in swamps?,shén me dòng wù shēng huó zài zhǎo zé lǐ,[sound:什么动物生活在沼泽里.mp3]
